,road_name
0,安宁河路
1,安阜街
2,安顺廊桥
3,安居路
4,安公路
5,安信路
6,安靖北路
7,安靖下街
8,安家街
9,安德立交桥
10,安公路
11,爱明街
12,鞍桥东路
13,鞍桥西路
14,安福街
15,安唐路
16,安轻路
17,安金路
18,安康南路
19,安吉路
20,安康北路
21,安仁西街
22,安仁东街
23,敖兴街
24,安蓉西路
25,安蓉路
26,安唐路
27,白河路
28,百日红西路
29,白龙江路
30,柏杨街
31,八角井街
32,白马路
33,白马庙街
34,百利路
35,百信路
36,柏树街
37,百草路
38,贝森路
39,百叶路
40,百川路
41,百草街
42,贝双街
43,白桦街
44,碧林街三段
45,碧林街一段
46,菠罗街
47,滨清路
48,宝生街
49,保华路
50,半边桥南街
51,北大街
52,百花桥
53,北桂路
54,北三环路一段
55,北三环路二段
56,北三环路三段
57,北三环路四段
58,北站西一路
59,北站东一路
60,北新干道
61,北站西二路
62,北站西一巷
63,白家塘街
64,斑龙路
65,北门坡路
66,北坛路
67,班竹林街
68,白河路
69,白衣中街
70,白衣下街
71,滨江西路北一段
72,滨江西路北二段
73,白衣上街
74,白沙街
75,布后街
76,百花潭路
77,蓓蕾街
78,百花西街
79,百花西路
80,滨江中路
81,滨江东路
82,百花正街
83,百花南街
84,百花东街
85,北顺街
86,包家巷
87,贝森南路
88,百卉路
89,白丝街
90,北糠市街
91,北纱帽街
92,斌升街
93,百花东路
94,宾隆街
95,北顺西巷
96,博雅街
97,保华路
98,白鹤东路
99,百日红中路
100,北新大道
101,白下路
102,白家塘街
103,白云寺街
104,北湖环湖路
105,宝耳国际大道
106,斑龙路
107,滨河路一巷
108,百盛路
109,宝光街
110,博海路
111,宝光大道北段一巷
112,八达路
113,白鹤街
114,笔杨路
115,宾河巷
116,北滨路上段
117,北河二桥
118,白头立交桥
119,白家场立交
120,白鹤林立交
121,北新立交桥
122,滨江东路北一段
123,北巷子
124,滨河路西段
125,白头西街
126,白头立交桥
127,白头东街
128,滨河路中段
129,百花巷
130,滨河路东段
131,百锦路
132,百花桥
133,保水街
134,白三路（旧）
135,白沙街
136,北泉路
137,柏华路
138,北川路
139,白家路
