name,start,end,dir,angle,status,speed,time,identifier
都汶高速,"103.679863,30.9504356","103.511803,31.0526752",从成灌高速出入口到龙溪隧道（成都市边界）,144,1,70.0,2019-08-21 Wed 11:09:22,都汶高速从成灌高速出入口到龙溪隧道（成都市边界）
都汶高速,"103.511627,31.0524216","103.675362,30.9530392",从龙溪隧道（成都市边界）到成灌高速出入口,324,1,55.0,2019-08-21 Wed 11:09:22,都汶高速从龙溪隧道（成都市边界）到成灌高速出入口
２１３国道,"103.602951,30.9785023","103.520515,31.0105858",从鑫玉大道到友谊隧道,155,1,40.0,2019-08-21 Wed 11:09:22,２１３国道从鑫玉大道到友谊隧道
２１３国道,"103.5205,31.0105591;1","103.602913,30.9785061",从友谊隧道到鑫玉大道,335,1,40.0,2019-08-21 Wed 11:09:22,２１３国道从友谊隧道到鑫玉大道
成温邛高速,"103.456268,30.4847336",";103.934479,30.690485",从桑园互通到文家场立交桥,26,1,90.0,2019-08-21 Wed 11:09:23,成温邛高速从桑园互通到文家场立交桥
成温邛高速,"103.935005,30.6902542","103.456192,30.4847164",从文家场立交桥到桑园互通,206,1,90.0,2019-08-21 Wed 11:09:23,成温邛高速从文家场立交桥到桑园互通
１０８国道,"103.478699,30.4036312",";103.93499,30.5806808",从长安大道到三强北路三段,24,1,45.0,2019-08-21 Wed 11:09:23,１０８国道从长安大道到三强北路三段
１０８国道,"103.934937,30.5807476","103.478745,30.4036808",从三强北路三段到长安大道,204,1,49.0,2019-08-21 Wed 11:09:23,１０８国道从三强北路三段到长安大道
京昆高速,"103.3592,30.1741962;1","103.847786,30.3672848",从成都市边界到１０３省道出入口,24,1,95.0,2019-08-21 Wed 11:09:24,京昆高速从成都市边界到１０３省道出入口
京昆高速,"103.848373,30.3682709",";103.35923,30.1742535",从１０３省道出入口到成都市边界,204,1,90.0,2019-08-21 Wed 11:09:24,京昆高速从１０３省道出入口到成都市边界
２１３国道,"103.602936,30.9785061","5;103.6688,30.9579239",从鑫玉大道到成灌高速出入口,339,2,20.0,2019-08-21 Wed 11:09:24,２１３国道从鑫玉大道到成灌高速出入口
２１３国道,"103.668861,30.9579868","103.520515,31.0105858",从成灌高速出入口到友谊隧道,157,1,40.0,2019-08-21 Wed 11:09:24,２１３国道从成灌高速出入口到友谊隧道
成新蒲快速路,"103.612694,30.2978439","103.874283,30.6291904",从成新蒲快速路南口到成温邛快速路,55,1,65.0,2019-08-21 Wed 11:09:25,成新蒲快速路从成新蒲快速路南口到成温邛快速路
成新蒲快速路,"103.874275,30.6293468","103.612602,30.2978401",从成温邛快速路到成新蒲快速路南口,235,1,65.0,2019-08-21 Wed 11:09:25,成新蒲快速路从成温邛快速路到成新蒲快速路南口
